UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Temperature difference,Average Temperature,Power,Downtime_Hours,Maintenance_Cost
23,M14882,2,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,10.400000000000034,304.1,48536.7,0.27,597.31
24,L47203,1,299.0,309.4,1758,25.7,68,0,0,0,0,0,0,10.399999999999977,304.2,45180.6,0.12,601.05
25,M14884,2,299.0,309.4,1561,37.3,70,0,0,0,0,0,0,10.399999999999977,304.2,58225.299999999996,0.11,753.74
26,L47205,1,299.0,309.5,1861,23.3,73,0,0,0,0,0,0,10.5,304.25,43361.3,0.27,760.29
27,L47206,1,299.1,309.5,1512,39.0,75,0,0,0,0,0,0,10.399999999999977,304.3,58968.0,0.25,475.44
28,H29441,0,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,10.299999999999955,304.25,44550.600000000006,0.29,489.15
29,L47208,1,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,10.299999999999955,304.25,63603.8,0.02,385.36
30,L47209,1,299.0,309.4,1693,30.1,84,0,0,0,0,0,0,10.399999999999977,304.2,50959.3,0.07,596.42
31,M14890,2,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,10.399999999999977,304.3,64539.8,0.09,586.72
32,L47211,1,299.0,309.4,1798,25.5,89,0,0,0,0,0,0,10.399999999999977,304.2,45849.0,0.13,906.06
33,L47212,1,299.0,309.4,1419,48.3,91,0,0,0,0,0,0,10.399999999999977,304.2,68537.7,0.14,660.26
34,L47213,1,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,10.400000000000034,304.1,54112.5,0.09,505.88
35,M14894,2,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,10.300000000000011,303.95000000000005,54097.3,0.24,545.0
36,M14895,2,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,10.399999999999977,304.0,70567.2,0.07,737.07
37,M14896,2,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,10.300000000000011,304.04999999999995,58022.700000000004,0.21,714.09
38,L47217,1,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,10.300000000000011,303.95000000000005,56408.8,0.26,554.08
39,H29452,0,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,10.300000000000011,304.04999999999995,69915.3,0.18,713.34
40,L47219,1,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,10.300000000000011,303.95000000000005,70875.0,0.11,515.64
41,L47220,1,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,10.300000000000011,303.95000000000005,61834.799999999996,0.06,561.15
42,L47221,1,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,10.300000000000011,303.95000000000005,69494.4,0.04,615.93
43,M14902,2,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,10.300000000000011,303.95000000000005,67168.8,0.22,669.22
44,H29457,0,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,10.399999999999977,304.0,66542.0,0.14,666.86
45,M14904,2,298.8,309.1,1472,47.5,125,0,0,0,0,0,0,10.300000000000011,303.95000000000005,69920.0,0.01,523.38
46,L47225,1,298.8,309.1,1489,49.1,128,0,0,0,0,0,0,10.300000000000011,303.95000000000005,73109.90000000001,0.3,832.41
47,M14906,2,298.7,309.0,1843,25.8,130,0,0,0,0,0,0,10.300000000000011,303.85,47549.4,0.2,698.8
48,L47227,1,298.8,309.1,1418,46.3,133,0,0,0,0,0,0,10.300000000000011,303.95000000000005,65653.4,0.25,842.59
49,H29462,0,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,10.399999999999977,304.0,76807.5,0.13,670.8
50,M14909,2,298.9,309.2,1412,44.1,140,0,0,0,0,0,0,10.300000000000011,304.04999999999995,62269.200000000004,0.29,1077.99
51,L47230,1,298.9,309.1,2861,4.6,143,1,0,0,1,0,0,10.200000000000045,304.0,13160.599999999999,6.23,6975.12
52,L47231,1,298.9,309.1,1383,54.9,145,0,0,0,0,0,0,10.200000000000045,304.0,75926.7,0.06,964.21
53,H29466,0,298.8,309.0,1497,43.8,147,0,0,0,0,0,0,10.199999999999989,303.9,65568.59999999999,0.27,1288.01
54,L47233,1,298.7,309.0,1565,35.1,152,0,0,0,0,0,0,10.300000000000011,303.85,54931.5,0.27,1131.6
55,L47234,1,298.7,309.0,1691,30.1,154,0,0,0,0,0,0,10.300000000000011,303.85,50899.100000000006,0.15,987.44
56,L47235,1,298.8,309.1,1512,40.7,156,0,0,0,0,0,0,10.300000000000011,303.95000000000005,61538.4,0.04,931.05
57,L47236,1,298.8,309.1,1477,42.4,158,0,0,0,0,0,0,10.300000000000011,303.95000000000005,62624.799999999996,0.09,949.99
58,L47237,1,298.8,309.1,1513,40.3,160,0,0,0,0,0,0,10.300000000000011,303.95000000000005,60973.899999999994,0.23,1037.53
59,M14918,2,298.8,309.0,1661,29.5,162,0,0,0,0,0,0,10.199999999999989,303.9,48999.5,0.25,1055.6
60,L47239,1,298.8,309.1,1378,54.4,165,0,0,0,0,0,0,10.300000000000011,303.95000000000005,74963.2,0.1,771.75
61,L47240,1,298.8,309.1,1393,52.6,167,0,0,0,0,0,0,10.300000000000011,303.95000000000005,73271.8,0.02,980.84
62,M14921,2,298.8,309.0,1592,38.2,169,0,0,0,0,0,0,10.199999999999989,303.9,60814.4,0.2,1040.31
63,L47242,1,298.8,309.0,1829,22.9,172,0,0,0,0,0,0,10.199999999999989,303.9,41884.1,0.22,1297.43
64,M14923,2,298.9,309.0,1812,25.9,174,0,0,0,0,0,0,10.100000000000023,303.95,46930.799999999996,0.13,1137.27
65,L47244,1,299.0,309.1,1523,38.6,177,0,0,0,0,0,0,10.100000000000023,304.05,58787.8,0.17,961.11
66,L47245,1,299.0,309.1,1394,45.1,179,0,0,0,0,0,0,10.100000000000023,304.05,62869.4,0.3,1382.0
67,M14926,2,298.9,308.9,1679,28.7,181,0,0,0,0,0,0,10.0,303.9,48187.299999999996,0.07,590.89
68,H29481,0,298.8,308.9,1466,44.1,184,0,0,0,0,0,0,10.099999999999966,303.85,64650.6,0.17,1379.53
69,L47248,1,298.8,308.9,1527,32.4,189,0,0,0,0,0,0,10.099999999999966,303.85,49474.799999999996,0.18,924.23
70,L47249,1,298.9,309.0,1410,65.7,191,1,0,0,1,1,0,10.100000000000023,303.95,92637.0,5.85,6879.27
71,M14930,2,298.9,309.0,1924,22.6,193,0,0,0,0,0,0,10.100000000000023,303.95,43482.4,0.26,1289.11
72,L47251,1,298.9,309.1,1452,45.5,196,0,0,0,0,0,0,10.200000000000045,304.0,66066.0,0.18,1328.56
73,L47252,1,298.9,309.1,1369,44.4,198,0,0,0,0,0,0,10.200000000000045,304.0,60783.6,0.15,1090.7
74,L47253,1,299.0,309.1,1592,35.0,200,0,0,0,0,0,0,10.100000000000023,304.05,55720.0,0.04,718.17
75,L47254,1,298.9,309.0,1601,32.3,202,0,0,0,0,0,0,10.100000000000023,303.95,51712.299999999996,0.21,1170.91
76,L47255,1,298.8,308.9,1379,46.7,204,0,0,0,0,0,0,10.099999999999966,303.85,64399.3,0.04,1027.13
77,L47256,1,298.8,308.9,1461,47.9,206,0,0,0,0,0,0,10.099999999999966,303.85,69981.9,0.01,732.62
78,L47257,1,298.8,308.9,1455,41.3,208,1,1,0,0,0,0,10.099999999999966,303.85,60091.49999999999,2.13,3176.81
79,L47258,1,298.8,308.9,1398,51.5,0,0,0,0,0,0,0,10.099999999999966,303.85,71997.0,0.17,8.62
80,L47259,1,298.8,308.9,1402,37.9,2,0,0,0,0,0,0,10.099999999999966,303.85,53135.799999999996,0.3,407.36
81,H29494,0,298.8,308.8,1445,49.9,4,0,0,0,0,0,0,10.0,303.8,72105.5,0.21,193.09
82,L47261,1,298.9,308.9,1450,47.5,9,0,0,0,0,0,0,10.0,303.9,68875.0,0.25,589.16
83,L47262,1,298.9,308.9,1453,40.8,11,0,0,0,0,0,0,10.0,303.9,59282.399999999994,0.1,116.57
84,L47263,1,299.0,309.0,1469,40.1,13,0,0,0,0,0,0,10.0,304.0,58906.9,0.15,279.56
85,L47264,1,298.9,308.9,1422,47.6,15,0,0,0,0,0,0,10.0,303.9,67687.2,0.29,333.04
86,M14945,2,299.0,309.0,1804,26.8,17,0,0,0,0,0,0,10.0,304.0,48347.200000000004,0.13,0.0
87,H29500,0,299.0,309.0,1436,43.9,20,0,0,0,0,0,0,10.0,304.0,63040.4,0.24,309.29
88,L47267,1,299.0,309.0,1544,31.8,25,0,0,0,0,0,0,10.0,304.0,49099.200000000004,0.16,398.01
89,M14948,2,299.0,309.0,1419,45.2,27,0,0,0,0,0,0,10.0,304.0,64138.8,0.07,295.3
90,M14949,2,298.9,308.9,1487,39.5,30,0,0,0,0,0,0,10.0,303.9,58736.5,0.17,276.01
91,L47270,1,298.9,308.9,1753,25.8,33,0,0,0,0,0,0,10.0,303.9,45227.4,0.07,16.49
92,L47271,1,298.9,308.9,1830,24.9,35,0,0,0,0,0,0,10.0,303.9,45567.0,0.0,271.67
93,M14952,2,298.9,308.9,1727,27.1,37,0,0,0,0,0,0,10.0,303.9,46801.700000000004,0.07,317.92
94,L47273,1,299.1,309.0,1450,43.0,40,0,0,0,0,0,0,9.899999999999977,304.05,62350.0,0.06,386.51
95,L47274,1,299.0,308.9,1622,31.9,42,0,0,0,0,0,0,9.899999999999977,303.95,51741.799999999996,0.11,278.88
96,M14955,2,299.0,309.0,1351,52.2,44,0,0,0,0,0,0,10.0,304.0,70522.2,0.27,237.34
97,M14956,2,299.0,309.0,1575,35.3,47,0,0,0,0,0,0,10.0,304.0,55597.49999999999,0.12,435.06
98,M14957,2,298.9,308.9,1750,29.9,50,0,0,0,0,0,0,10.0,303.9,52325.0,0.25,498.63
99,L47278,1,298.9,308.8,1529,32.7,53,0,0,0,0,0,0,9.900000000000034,303.85,49998.3,0.17,643.75
100,L47279,1,298.8,308.8,1523,44.4,55,0,0,0,0,0,0,10.0,303.8,67621.2,0.0,279.31
101,L47280,1,298.8,308.9,1852,25.0,57,0,0,0,0,0,0,10.099999999999966,303.85,46300.0,0.06,338.18
102,L47281,1,298.8,308.8,1991,20.7,59,0,0,0,0,0,0,10.0,303.8,41213.7,0.28,637.59
103,L47282,1,298.8,308.8,1555,40.6,61,0,0,0,0,0,0,10.0,303.8,63133.0,0.18,395.46
104,M14963,2,298.8,308.8,1441,40.5,63,0,0,0,0,0,0,10.0,303.8,58360.5,0.28,498.23
105,L47284,1,298.8,308.7,1450,43.4,66,0,0,0,0,0,0,9.899999999999977,303.75,62930.0,0.09,405.32
106,L47285,1,298.8,308.7,1591,31.1,68,0,0,0,0,0,0,9.899999999999977,303.75,49480.100000000006,0.21,411.94
107,L47286,1,298.8,308.7,1445,48.5,70,0,0,0,0,0,0,9.899999999999977,303.75,70082.5,0.23,545.64
108,M14967,2,298.8,308.8,1497,46.8,72,0,0,0,0,0,0,10.0,303.8,70059.59999999999,0.29,940.93
109,H29522,0,298.9,308.8,1621,32.7,75,0,0,0,0,0,0,9.900000000000034,303.85,53006.700000000004,0.01,541.4
110,L47289,1,298.9,308.7,1572,34.1,80,0,0,0,0,0,0,9.800000000000011,303.79999999999995,53605.200000000004,0.29,736.21
111,L47290,1,298.8,308.6,1872,22.5,82,0,0,0,0,0,0,9.800000000000011,303.70000000000005,42120.0,0.12,762.75
112,H29525,0,298.7,308.6,1499,43.5,84,0,0,0,0,0,0,9.900000000000034,303.65,65206.5,0.25,546.27
113,M14972,2,298.8,308.7,1498,39.5,89,0,0,0,0,0,0,9.899999999999977,303.75,59171.0,0.16,978.57
114,M14973,2,298.8,308.6,1486,41.9,92,0,0,0,0,0,0,9.800000000000011,303.70000000000005,62263.4,0.17,560.92
115,L47294,1,298.8,308.6,1680,29.4,95,0,0,0,0,0,0,9.800000000000011,303.70000000000005,49392.0,0.11,885.57
116,L47295,1,298.8,308.6,1431,45.7,97,0,0,0,0,0,0,9.800000000000011,303.70000000000005,65396.700000000004,0.25,1034.91
117,L47296,1,298.9,308.7,1564,34.1,99,0,0,0,0,0,0,9.800000000000011,303.79999999999995,53332.4,0.08,312.02
118,L47297,1,298.8,308.6,1599,33.0,101,0,0,0,0,0,0,9.800000000000011,303.70000000000005,52767.0,0.15,875.06
119,M14978,2,298.8,308.6,1707,28.1,103,0,0,0,0,0,0,9.800000000000011,303.70000000000005,47966.700000000004,0.17,642.41
120,L47299,1,298.7,308.5,1467,40.7,106,0,0,0,0,0,0,9.800000000000011,303.6,59706.9,0.22,664.8
121,L47300,1,298.9,308.7,1433,44.7,108,0,0,0,0,0,0,9.800000000000011,303.79999999999995,64055.100000000006,0.14,758.7
122,L47301,1,298.9,308.7,1558,41.2,110,0,0,0,0,0,0,9.800000000000011,303.79999999999995,64189.600000000006,0.2,598.81
123,L47302,1,299.0,308.8,1310,50.7,112,0,0,0,0,0,0,9.800000000000011,303.9,66417.0,0.15,785.3
124,L47303,1,298.9,308.7,1546,43.4,114,0,0,0,0,0,0,9.800000000000011,303.79999999999995,67096.4,0.2,628.88
125,L47304,1,298.9,308.7,1727,29.4,116,0,0,0,0,0,0,9.800000000000011,303.79999999999995,50773.799999999996,0.2,806.56
126,L47305,1,298.9,308.6,1560,32.2,118,0,0,0,0,0,0,9.700000000000045,303.75,50232.00000000001,0.21,1000.3
127,L47306,1,299.0,308.6,1329,60.5,120,0,0,0,0,0,0,9.600000000000023,303.8,80404.5,0.25,907.98
128,L47307,1,298.9,308.6,1413,46.5,122,0,0,0,0,0,0,9.700000000000045,303.75,65704.5,0.16,716.03
129,L47308,1,299.0,308.6,1587,38.6,124,0,0,0,0,0,0,9.600000000000023,303.8,61258.200000000004,0.06,761.21
130,L47309,1,298.9,308.5,1559,34.3,126,0,0,0,0,0,0,9.600000000000023,303.7,53473.7,0.2,619.03
131,L47310,1,298.8,308.4,1473,41.1,128,0,0,0,0,0,0,9.599999999999966,303.6,60540.3,0.02,534.17
132,L47311,1,298.8,308.4,1737,27.7,130,0,0,0,0,0,0,9.599999999999966,303.6,48114.9,0.07,655.46
133,M14992,2,298.7,308.4,1441,43.2,132,0,0,0,0,0,0,9.699999999999989,303.54999999999995,62251.200000000004,0.24,1018.03
134,M14993,2,298.7,308.4,1430,49.6,135,0,0,0,0,0,0,9.699999999999989,303.54999999999995,70928.0,0.13,865.87
135,L47314,1,298.8,308.4,1369,53.0,138,0,0,0,0,0,0,9.599999999999966,303.6,72557.0,0.15,920.27
136,M14995,2,298.8,308.5,1711,28.5,140,0,0,0,0,0,0,9.699999999999989,303.65,48763.5,0.3,995.89
137,H29550,0,298.7,308.5,1420,45.7,143,0,0,0,0,0,0,9.800000000000011,303.6,64894.00000000001,0.07,666.79
138,L47317,1,298.7,308.6,1297,55.3,148,0,0,0,0,0,0,9.900000000000034,303.65,71724.09999999999,0.01,973.22
139,H29552,0,298.8,308.6,1449,49.4,150,0,0,0,0,0,0,9.800000000000011,303.70000000000005,71580.59999999999,0.03,675.33
140,L47319,1,298.8,308.6,1268,55.8,155,0,0,0,0,0,0,9.800000000000011,303.70000000000005,70754.4,0.07,907.86
141,L47320,1,298.8,308.6,1511,36.1,157,0,0,0,0,0,0,9.800000000000011,303.70000000000005,54547.1,0.22,988.18
142,L47321,1,298.7,308.5,1544,35.2,159,0,0,0,0,0,0,9.800000000000011,303.6,54348.8,0.23,1109.45
143,M15002,2,298.6,308.4,1778,28.2,161,0,0,0,0,0,0,9.799999999999955,303.5,50139.6,0.17,884.18
144,H29557,0,298.6,308.4,1407,50.5,164,0,0,0,0,0,0,9.799999999999955,303.5,71053.5,0.08,1057.9
145,M15004,2,298.6,308.4,1391,42.4,169,0,0,0,0,0,0,9.799999999999955,303.5,58978.4,0.16,1211.74
146,L47325,1,298.5,308.4,1513,33.6,172,0,0,0,0,0,0,9.899999999999977,303.45,50836.8,0.0,1008.7
147,H29560,0,298.5,308.4,1612,36.1,174,0,0,0,0,0,0,9.899999999999977,303.45,58193.200000000004,0.2,1093.64
148,L47327,1,298.4,308.4,1515,40.1,179,0,0,0,0,0,0,10.0,303.4,60751.5,0.18,1009.73
149,M15008,2,298.3,308.3,1379,48.0,181,0,0,0,0,0,0,10.0,303.3,66192.0,0.01,1338.32
150,L47329,1,298.4,308.3,1473,39.9,184,0,0,0,0,0,0,9.900000000000034,303.35,58772.7,0.25,1021.26
151,L47330,1,298.4,308.3,1422,42.7,186,0,0,0,0,0,0,9.900000000000034,303.35,60719.4,0.23,1292.18
152,M15011,2,298.4,308.2,1463,37.6,188,0,0,0,0,0,0,9.800000000000011,303.29999999999995,55008.8,0.09,1079.92
153,M15012,2,298.4,308.2,1584,41.0,191,0,0,0,0,0,0,9.800000000000011,303.29999999999995,64944.0,0.19,1135.62
154,L47333,1,298.4,308.2,1850,27.0,194,0,0,0,0,0,0,9.800000000000011,303.29999999999995,49950.0,0.18,1177.77
155,L47334,1,298.4,308.2,1528,36.2,196,0,0,0,0,0,0,9.800000000000011,303.29999999999995,55313.600000000006,0.04,943.47
156,H29569,0,298.4,308.2,1987,19.8,198,0,0,0,0,0,0,9.800000000000011,303.29999999999995,39342.6,0.06,1114.06
157,M15016,2,298.4,308.1,1495,46.0,203,0,0,0,0,0,0,9.700000000000045,303.25,68770.0,0.2,1262.52
158,H29571,0,298.4,308.2,1478,43.5,206,0,0,0,0,0,0,9.800000000000011,303.29999999999995,64293.0,0.28,1711.65
159,M15018,2,298.4,308.2,1499,40.0,211,0,0,0,0,0,0,9.800000000000011,303.29999999999995,59960.0,0.17,1385.62
160,L47339,1,298.4,308.2,1471,47.0,214,0,0,0,0,0,0,9.800000000000011,303.29999999999995,69137.0,0.17,1317.38
161,L47340,1,298.4,308.2,1282,60.7,216,1,0,0,0,1,0,9.800000000000011,303.29999999999995,77817.40000000001,7.23,8396.33
162,L47341,1,298.3,308.1,1412,52.3,218,1,0,0,0,1,0,9.800000000000011,303.20000000000005,73847.59999999999,7.42,8785.93
163,L47342,1,298.3,308.1,1586,35.5,0,0,0,0,0,0,0,9.800000000000011,303.20000000000005,56303.0,0.02,0.0
164,M15023,2,298.4,308.2,1468,43.8,2,0,0,0,0,0,0,9.800000000000011,303.29999999999995,64298.399999999994,0.12,102.59
165,M15024,2,298.5,308.3,1440,43.6,5,0,0,0,0,0,0,9.800000000000011,303.4,62784.0,0.27,8.93
166,L47345,1,298.5,308.4,1733,26.0,8,0,0,0,0,0,0,9.899999999999977,303.45,45058.0,0.24,363.82
167,H29580,0,298.4,308.2,1612,32.6,10,0,0,0,0,0,0,9.800000000000011,303.29999999999995,52551.200000000004,0.28,457.23
168,H29581,0,298.4,308.3,1458,42.9,15,0,0,0,0,0,0,9.900000000000034,303.35,62548.2,0.05,0.0
169,L47348,1,298.4,308.3,1433,62.3,20,1,0,0,1,0,0,9.900000000000034,303.35,89275.9,5.87,6185.26
170,L47349,1,298.4,308.3,1318,59.1,22,0,0,0,0,0,0,9.900000000000034,303.35,77893.8,0.18,182.17
171,M15030,2,298.4,308.2,1610,35.0,24,0,0,0,0,0,0,9.800000000000011,303.29999999999995,56350.0,0.06,128.63
172,L47351,1,298.2,308.1,1462,50.8,27,0,0,0,0,0,0,9.900000000000034,303.15,74269.59999999999,0.06,212.93
173,M15032,2,298.1,308.0,1924,20.8,29,0,0,0,0,0,0,9.899999999999977,303.05,40019.200000000004,0.23,614.13
174,M15033,2,298.2,308.0,1591,33.7,32,0,0,0,0,0,0,9.800000000000011,303.1,53616.700000000004,0.2,231.27
175,L47354,1,298.2,308.1,1306,58.3,35,0,0,0,0,0,0,9.900000000000034,303.15,76139.8,0.19,408.69
176,L47355,1,298.2,308.1,1382,43.5,37,0,0,0,0,0,0,9.900000000000034,303.15,60117.0,0.08,381.23
177,L47356,1,298.2,308.1,1618,34.7,39,0,0,0,0,0,0,9.900000000000034,303.15,56144.600000000006,0.15,430.27
178,L47357,1,298.2,308.2,1988,21.4,41,0,0,0,0,0,0,10.0,303.2,42543.2,0.01,305.81
179,L47358,1,298.2,308.2,1436,50.2,43,0,0,0,0,0,0,10.0,303.2,72087.2,0.04,369.23
180,L47359,1,298.2,308.3,1304,49.8,45,0,0,0,0,0,0,10.100000000000023,303.25,64939.2,0.16,301.79
181,L47360,1,298.2,308.3,1475,49.9,47,0,0,0,0,0,0,10.100000000000023,303.25,73602.5,0.09,578.17
182,H29595,0,298.2,308.3,1824,24.2,49,0,0,0,0,0,0,10.100000000000023,303.25,44140.799999999996,0.29,518.33
183,M15042,2,298.1,308.2,1342,48.1,54,0,0,0,0,0,0,10.099999999999966,303.15,64550.200000000004,0.14,373.42
184,L47363,1,298.1,308.2,1485,40.7,57,0,0,0,0,0,0,10.099999999999966,303.15,60439.50000000001,0.03,517.14
185,L47364,1,298.2,308.2,1667,30.6,59,0,0,0,0,0,0,10.0,303.2,51010.200000000004,0.01,210.41
186,L47365,1,298.2,308.2,1446,38.2,61,0,0,0,0,0,0,10.0,303.2,55237.200000000004,0.22,573.04
187,L47366,1,298.1,308.3,1301,56.0,63,0,0,0,0,0,0,10.199999999999989,303.20000000000005,72856.0,0.05,256.57
188,L47367,1,298.2,308.4,1379,43.1,65,0,0,0,0,0,0,10.199999999999989,303.29999999999995,59434.9,0.06,762.89
189,L47368,1,298.3,308.5,1606,33.6,67,0,0,0,0,0,0,10.199999999999989,303.4,53961.600000000006,0.13,811.3
190,M15049,2,298.3,308.4,1539,43.4,69,0,0,0,0,0,0,10.099999999999966,303.35,66792.59999999999,0.08,408.46
191,L47370,1,298.2,308.4,1477,49.9,72,0,0,0,0,0,0,10.199999999999989,303.29999999999995,73702.3,0.18,617.98
192,L47371,1,298.2,308.4,1666,34.6,74,0,0,0,0,0,0,10.199999999999989,303.29999999999995,57643.600000000006,0.15,520.78
193,H29606,0,298.2,308.4,1398,51.8,76,0,0,0,0,0,0,10.199999999999989,303.29999999999995,72416.4,0.03,357.71
194,H29607,0,298.2,308.4,1678,34.6,81,0,0,0,0,0,0,10.199999999999989,303.29999999999995,58058.8,0.24,662.94
195,M15054,2,298.2,308.5,2678,10.7,86,1,0,0,1,0,0,10.300000000000011,303.35,28654.6,5.11,5533.91
196,L47375,1,298.3,308.5,1453,42.9,89,0,0,0,0,0,0,10.199999999999989,303.4,62333.7,0.18,396.9
197,H29610,0,298.3,308.6,1432,49.5,91,0,0,0,0,0,0,10.300000000000011,303.45000000000005,70884.0,0.0,494.45
198,M15057,2,298.4,308.6,1527,40.9,96,0,0,0,0,0,0,10.200000000000045,303.5,62454.299999999996,0.19,663.66
199,L47378,1,298.4,308.7,1588,35.0,99,0,0,0,0,0,0,10.300000000000011,303.54999999999995,55580.0,0.08,621.83
200,L47379,1,298.4,308.6,1433,47.1,101,0,0,0,0,0,0,10.200000000000045,303.5,67494.3,0.15,643.37
201,L47380,1,298.4,308.6,1609,35.0,103,0,0,0,0,0,0,10.200000000000045,303.5,56315.0,0.09,550.95
202,L47381,1,298.3,308.5,1575,41.2,105,0,0,0,0,0,0,10.199999999999989,303.4,64890.00000000001,0.3,956.24
203,M15062,2,298.4,308.5,1636,35.7,107,0,0,0,0,0,0,10.100000000000023,303.45,58405.200000000004,0.07,684.97
204,L47383,1,298.4,308.5,1490,37.9,110,0,0,0,0,0,0,10.100000000000023,303.45,56471.0,0.27,1029.41
205,L47384,1,298.4,308.5,1741,32.8,112,0,0,0,0,0,0,10.100000000000023,303.45,57104.799999999996,0.28,914.21
206,M15065,2,298.5,308.6,1344,53.0,114,0,0,0,0,0,0,10.100000000000023,303.55,71232.0,0.13,670.36
207,L47386,1,298.5,308.7,1609,35.3,117,0,0,0,0,0,0,10.199999999999989,303.6,56797.7,0.09,767.52
208,M15067,2,298.4,308.7,1421,60.7,119,1,0,0,1,0,0,10.300000000000011,303.54999999999995,86254.7,5.02,5317.91
209,L47388,1,298.4,308.6,1591,36.7,122,0,0,0,0,0,0,10.200000000000045,303.5,58389.700000000004,0.3,1225.55
210,L47389,1,298.4,308.6,1477,44.0,124,0,0,0,0,0,0,10.200000000000045,303.5,64988.0,0.19,851.16
211,L47390,1,298.4,308.7,1523,36.1,126,0,0,0,0,0,0,10.300000000000011,303.54999999999995,54980.3,0.16,1117.67
212,L47391,1,298.5,308.7,1575,33.9,128,0,0,0,0,0,0,10.199999999999989,303.6,53392.5,0.01,519.6
213,H29626,0,298.4,308.7,1344,52.9,130,0,0,0,0,0,0,10.300000000000011,303.54999999999995,71097.59999999999,0.25,732.35
214,L47393,1,298.4,308.7,1386,44.9,135,0,0,0,0,0,0,10.300000000000011,303.54999999999995,62231.4,0.03,759.87
215,M15074,2,298.3,308.6,1589,37.1,137,0,0,0,0,0,0,10.300000000000011,303.45000000000005,58951.9,0.01,749.38
216,L47395,1,298.3,308.6,1548,40.3,140,0,0,0,0,0,0,10.300000000000011,303.45000000000005,62384.399999999994,0.08,830.74
